Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Netherlands, The",NL,NLD,"CO2 Emissions Embodied in Final Demand, balance",Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTDB,CO2 Emissions Embodied in Final Demand; Of which: Final Demand Balance,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Final Demand, Of which: Final Demand Balance",Units,-1.077,4.336,5.384,-0.03,-4.356,2.368,5.178,3.867,-1.301,1.703,2.923,0.663,-3.137,-2.262,1.239,3.196,6.149,13.133,10.28,12.352,8.747,8.61,8.552,4.236,,,
"Netherlands, The",NL,NLD,CO2 Emissions Embodied in Final Domestic Demand,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTDD,CO2 Emissions Embodied in Final Demand; Of which: Final Domestic Demand,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Final Demand, Of which: Final Domestic Demand",Units,186.587,191.736,183.757,189.75,190.095,186.081,188.946,189.371,197.59,199.292,195.793,194.047,199.341,199.885,188.569,196.651,182.579,172.758,176.412,167.692,176.262,175.156,171.714,171.333,,,
"Netherlands, The",NL,NLD,CO2 Emissions Embodied in Gross Exports,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTTX,CO2 Emissions Embodied in Trade; Exports,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade, Exports",Units,115.283,117.619,112.035,111.286,115.134,122.647,116.329,115.2,117.129,123.004,128.722,127.77,132.455,133.271,112.587,125.892,130.845,128.999,129.723,130.526,138.983,135.819,140.094,139.155,143.323,143.398,140.421
"Netherlands, The",NL,NLD,"CO2 Emissions Embodied in Gross Exports, balance",Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTT,CO2 Emissions Embodied in Trade; Trade Balance,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade",Units,-1.076,4.337,5.385,-0.029,-4.355,2.369,5.179,3.868,-1.301,1.703,2.924,0.664,-3.136,-2.261,1.239,3.196,6.149,13.133,10.281,12.352,8.747,8.61,8.553,4.236,21.899,16.309,4.237
"Netherlands, The",NL,NLD,CO2 Emissions Embodied in Gross Imports,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTT,CO2 Emissions Embodied in Trade; Imports,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade",Units,115.979,112.784,106.196,110.794,118.996,119.791,110.611,110.772,117.932,120.8,125.336,126.628,135.08,135.058,110.816,122.213,124.183,115.41,118.944,117.736,129.801,126.742,131.099,134.492,121.424,127.089,136.184
"Netherlands, The",NL,NLD,CO2 Emissions Embodied in Production,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTP,CO2 Emissions Embodied in Production,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Production",Units,185.51,196.072,189.142,189.72,185.739,188.449,194.125,193.238,196.288,200.995,198.716,194.71,196.204,197.624,189.808,199.847,188.728,185.892,186.692,180.043,185.009,183.766,180.266,175.569,,,
Luxembourg,LU,LUX,"CO2 Emissions Embodied in Final Demand, balance",Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTDB,CO2 Emissions Embodied in Final Demand; Of which: Final Demand Balance,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Final Demand, Of which: Final Demand Balance",Units,-1.908,-0.959,-1.668,-2.613,-0.985,-0.615,-0.43,-0.211,-0.582,-0.426,-0.617,-0.623,-0.978,-1.69,-0.754,-0.732,-1.663,-1.633,-1.771,-1.682,-1.506,-2.102,-2.048,-2.571,,,
Luxembourg,LU,LUX,CO2 Emissions Embodied in Final Domestic Demand,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTDD,CO2 Emissions Embodied in Final Demand; Of which: Final Domestic Demand,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Final Demand, Of which: Final Domestic Demand",Units,10.986,10.094,10.466,10.716,9.591,9.909,10.347,10.583,11.507,12.853,13.334,13.154,12.994,13.671,12.095,12.68,13.405,13.093,12.715,12.205,11.645,11.992,12.569,12.971,,,
Luxembourg,LU,LUX,CO2 Emissions Embodied in Gross Exports,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTTX,CO2 Emissions Embodied in Trade; Exports,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade, Exports",Units,11.478,10.213,10.188,10.085,8.759,10.524,10.105,9.831,10.328,12.806,14.413,15.271,15.926,17.185,13.199,14.964,14.911,14.955,15.473,18.158,17.226,15.969,17.166,17.043,15.855,16.424,17.277
Luxembourg,LU,LUX,"CO2 Emissions Embodied in Gross Exports, balance",Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Access Date: 04-03-2022;",ECBTT,CO2 Emissions Embodied in Trade; Trade Balance,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade",Units,-1.907,-0.957,-1.666,-2.61,-0.983,-0.612,-0.427,-0.209,-0.58,-0.425,-0.616,-0.622,-0.977,-1.69,-0.754,-0.731,-1.663,-1.632,-1.77,-1.682,-1.506,-2.101,-2.047,-2.57,-1.698,0.957,-2.081
