Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Netherlands, The",NL,NLD,Carbon stocks in forests,Million tonnes,,,,,7.389,7.5439,7.6988,7.8536,8.0085,8.1634,8.3183,8.4731,8.628,8.8446,9.0611,9.2777,9.4942,9.7108,9.9273,10.1439,10.3605,10.577,10.7936,10.9413,11.0891,11.2368,11.3845,11.5323,11.6714,11.8114,11.948,12.0891,12.2304
"Netherlands, The",NL,NLD,Forest area,1000 HA,,,,,348.164,349.581,350.998,352.415,353.832,355.249,356.666,358.083,359.5,360.898,362.296,363.694,365.092,366.49,367.888,369.286,370.684,372.082,373.48,371.75,370.02,368.29,366.56,364.83,365.76,366.7,367.63,368.57,369.5
"Netherlands, The",NL,NLD,Index of carbon stocks in forests,Index,,,,,100,102.0963595,104.1927189,106.287725,108.3840844,110.4804439,112.5768034,114.6718094,116.7681689,119.6995534,122.6295845,125.560969,128.4910001,131.4223846,134.3524158,137.2838002,140.2151847,143.1452159,146.0766004,148.0755177,150.0757883,152.0747056,154.073623,156.0738936,157.9564217,159.8511301,161.6998241,163.6094194,165.5217215
"Netherlands, The",NL,NLD,Index of forest extent,Index,,,,,100,100.4069921,100.8139842,101.2209763,101.6279684,102.0349605,102.4419526,102.8489448,103.2559369,103.6574718,104.0590067,104.4605416,104.8620765,105.2636114,105.6651463,106.0666812,106.4682161,106.869751,107.2712859,106.7743937,106.2775014,105.7806091,105.2837169,104.7868246,105.0539401,105.3239278,105.5910433,105.861031,106.1281465
"Netherlands, The",NL,NLD,Land area,1000 HA,,,,,3376,3376,3376,3376,3376,3376,3376,3376,3376,3376,3376,3376,3376,3376,3376,3376,3376,3373,3373,3372,3372,3369,3369,3367,3367,3367,3367,3367,3367
"Netherlands, The",NL,NLD,Share of forest area,Percent,,,,,10.31291469,10.35488744,10.39686019,10.43883294,10.48080569,10.52277844,10.56475118,10.60672393,10.64869668,10.69010664,10.73151659,10.77292654,10.81433649,10.85574645,10.8971564,10.93856635,10.9799763,11.03118885,11.07263564,11.02461447,10.97330961,10.93173048,10.88037993,10.83546184,10.86308286,10.89100089,10.91862192,10.94653995,10.97416097
Luxembourg,LU,LUX,Carbon stocks in forests,Million tonnes,,,,,5.841178429,5.975110015,6.109041601,6.242962815,6.376894401,6.510815614,6.6447472,6.778678787,6.9126,7.0541,7.1957,7.3372,7.4788,7.6203,7.7619,7.9034,8.045,8.1865,8.328,8.3942,8.4604,8.5266,8.5927,8.6589,8.6474,8.7396,8.831,8.9232,9.0403
Luxembourg,LU,LUX,Forest area,1000 HA,,,,,87.54630239,87.44051459,87.33472679,87.22893899,87.12315119,87.0173634,86.9115756,86.8057878,86.7,86.9,87.1,87.3,87.5,87.7,87.9,88.1,88.3,88.5,88.7,88.7,88.7,88.7,88.7,88.7,88.7,88.7,88.7,88.7,88.7
Luxembourg,LU,LUX,Index of carbon stocks in forests,Index,,,,,100,102.2928864,104.5857728,106.8784816,109.171368,111.4640769,113.7569633,116.0498497,118.3425585,120.7650149,123.1891833,125.6116397,128.035808,130.4582644,132.8824328,135.3048892,137.7290575,140.1515139,142.5739703,143.7073033,144.8406362,145.9739692,147.1055902,148.2389231,148.042045,149.6204936,151.1852464,152.763695,154.7684275
Luxembourg,LU,LUX,Index of forest extent,Index,,,,,100,99.8791636,99.7583272,99.63749081,99.51665441,99.39581801,99.27498161,99.15414521,99.03330882,99.26175936,99.49020989,99.71866043,99.94711097,100.1755615,100.4040121,100.6324626,100.8609131,101.0893637,101.3178142,101.3178142,101.3178142,101.3178142,101.3178142,101.3178142,101.3178142,101.3178142,101.3178142,101.3178142,101.3178142
Luxembourg,LU,LUX,Land area,1000 HA,,,,,257.1759731,257.1759731,257.1759731,257.1759731,257.1759731,257.1759731,257.1759731,257.1759731,257.446,257.446,257.446,257.446,257.446,257.446,257.446,257.446,257.446,257.446,257.446,257.446,257.446,257.446,257.446,257.446,257.446,257.446,257.446,257.446,257.446
Luxembourg,LU,LUX,Share of forest area,Percent,,,,,34.04140027,34.00026587,33.95913147,33.91799706,33.87686266,33.83572826,33.79459386,33.75345946,33.67696527,33.75465146,33.83233766,33.91002385,33.98771004,34.06539624,34.14308243,34.22076863,34.29845482,34.37614102,34.45382721,34.45382721,34.45382721,34.45382721,34.45382721,34.45382721,34.45382721,34.45382721,34.45382721,34.45382721,34.45382721
Belgium,BE,BEL,Carbon stocks in forests,Million tonnes,,,,,50.47212157,51.62938998,52.7866584,53.94383719,55.1011056,56.25828439,57.4155528,58.57282121,59.73,60.5957,61.4614,62.3271,63.1927,64.0584,64.9241,65.7898,66.6555,67.5211,68.3868,69.0745,69.7621,70.4498,71.1374,71.8251,71.8251,71.8251,71.8251,71.8251,71.8251
Belgium,BE,BEL,Forest area,1000 HA,,,,,673.8136976,672.9994854,672.1852732,671.371061,670.5568488,669.7426366,668.9284244,668.1142122,667.3,669.557,671.814,674.071,676.328,678.585,680.842,683.099,685.356,687.613,689.87,689.756,689.642,689.528,689.414,689.3,689.3,689.3,689.3,689.3,689.3
Belgium,BE,BEL,Index of carbon stocks in forests,Index,,,,,100,102.2928864,104.5857728,106.8784816,109.171368,111.4640769,113.7569633,116.0498497,118.3425585,120.0577628,121.7729671,123.4881714,125.2031776,126.9183819,128.6335862,130.3487905,132.0639948,133.779001,135.4942053,136.8567396,138.2190759,139.5816102,140.9439465,142.3064808,142.3064808,142.3064808,142.3064808,142.3064808,142.3064808
Belgium,BE,BEL,Index of forest extent,Index,,,,,100,99.8791636,99.7583272,99.63749081,99.51665441,99.39581801,99.27498161,99.15414521,99.03330882,99.36826787,99.70322693,100.038186,100.373145,100.7081041,101.0430632,101.3780222,101.7129813,102.0479403,102.3828994,102.3659808,102.3490621,102.3321435,102.3152249,102.2983063,102.2983063,102.2983063,102.2983063,102.2983063,102.2983063
Belgium,BE,BEL,Land area,1000 HA,,,,,3024.824027,3024.824027,3024.824027,3024.824027,3024.824027,3024.824027,3024.824027,3024.824027,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028,3028
Belgium,BE,BEL,Share of forest area,Percent,,,,,22.27612885,22.24921117,22.2222935,22.19537583,22.16845816,22.14154049,22.11462282,22.08770514,22.03764861,22.11218626,22.18672391,22.26126156,22.33579921,22.41033686,22.4848745,22.55941215,22.6339498,22.70848745,22.7830251,22.77926024,22.77549538,22.77173052,22.76796565,22.76420079,22.76420079,22.76420079,22.76420079,22.76420079,22.76420079
