Country,ISO2,ISO3,Indicator,Source,Model,Scenario,Damage,Percentile,Damage_Reference,Percentile_Reference,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Below 2°C,High,5,High,95,0,-0.026133933,-0.047834973,-0.082905581,-0.11955347,-0.153462642,-0.170223859,-0.179764759,-0.176160702,-0.161299705,-0.15764789,-0.159742143,-0.162884394,-0.142927536,-0.105195375,-0.054391026,-0.005367196,0.02331509,0.066977702,0.120817802,0.16537895,0.231705828,0.302563209,0.359564115,0.44181207,0.544082212,0.644428498,0.742805213,0.842740824,0.91719187,0.95994974,1.017166605,1.075563607,1.13942968,1.199297058,1.26407647,1.342257725,1.42382531,1.52563728,1.625943507,1.726007523,1.822380299,1.892511688,1.960496419,2.028214855,2.100241696,2.177071252,2.275724932,2.376208046,2.472348572,2.568266388,2.677061156,2.774911581,2.890247127,2.995337138,3.088076727,3.172335321,3.267893133,3.381243729,3.493874751,3.609897236,3.734235737,3.845105871,3.960148569,4.064904013,4.16892551,4.280447633,4.401377991,4.530387597,4.652662352,4.774407436,4.89806168,5.021099468,5.143920474,5.266822111,5.390010583,5.513693917,5.638086749,5.763451619,5.889921976,6.017728884
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Below 2°C,High,50,High,95,0,-0.049357603,-0.103630955,-0.170453422,-0.249451204,-0.315673957,-0.34556456,-0.375211554,-0.391316973,-0.389631979,-0.401755413,-0.417321319,-0.44249764,-0.439656465,-0.41294986,-0.379782951,-0.35470576,-0.349261906,-0.31793793,-0.272178922,-0.231316678,-0.164663148,-0.094096118,-0.039040342,0.043136495,0.140384182,0.234956433,0.329362372,0.425763015,0.491144504,0.52872657,0.583781196,0.642293687,0.703947895,0.762430833,0.827316004,0.904987472,0.974076526,1.060073153,1.146394573,1.239927855,1.33370298,1.401702353,1.469713899,1.53526402,1.606195537,1.682708923,1.776848313,1.874117188,1.970135539,2.063849258,2.172956715,2.270795171,2.385954819,2.48996381,2.582146303,2.665295278,2.758911744,2.869642377,2.980885848,3.096640692,3.217661886,3.326051745,3.440868289,3.545684092,3.640644629,3.745589939,3.865247375,3.993913464,4.108335998,4.22104393,4.337971316,4.454496807,4.571266027,4.688446631,4.806252346,4.924896074,5.044551146,5.165438957,5.287652712,5.411467991
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Below 2°C,Median,5,High,95,0,0.005049132,0.018058736,0.023346844,0.023366259,0.016863065,0.019788712,0.022498466,0.038691898,0.064439294,0.078212275,0.087807882,0.097075525,0.13058424,0.179064187,0.23788917,0.29632573,0.337465027,0.391237741,0.448571106,0.50460183,0.582735324,0.661618748,0.727841829,0.817234378,0.923510153,1.027493593,1.128571903,1.231126782,1.307538264,1.356105898,1.426227797,1.495958874,1.566164448,1.632030066,1.701347085,1.784350548,1.870374807,1.975048179,2.080797024,2.189413519,2.291177843,2.365372721,2.43903242,2.520125847,2.602759419,2.684306279,2.785384006,2.893483727,2.997227965,3.107243415,3.231193509,3.341504208,3.466281712,3.586759587,3.69212871,3.78497601,3.886313828,4.008346777,4.1326901,4.258949791,4.38950555,4.507013196,4.629653439,4.742743437,4.85262147,4.969601684,5.098411507,5.23487649,5.362290562,5.486091492,5.610929516,5.734954014,5.858755297,5.982630664,6.106786067,6.231429136,6.356818203,6.483128332,6.61053681,6.739317113
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Below 2°C,Median,50,High,95,0,-0.005189386,-0.007811667,-0.018365732,-0.038654881,-0.061262576,-0.065096999,-0.072241416,-0.066493518,-0.047453852,-0.041277568,-0.038728416,-0.039604432,-0.015184214,0.027652461,0.077865047,0.12457545,0.153823861,0.201666105,0.254919236,0.308036116,0.383979699,0.459736652,0.526062205,0.617222583,0.72186893,0.822716556,0.921648171,1.022358349,1.094514581,1.136762125,1.203319757,1.272772988,1.34150818,1.405515039,1.474476514,1.558049695,1.63938622,1.734926931,1.832594205,1.938633127,2.038961654,2.112228265,2.186398595,2.271798208,2.357404981,2.438456773,2.537262159,2.645134379,2.750348419,2.865324137,2.994741391,3.106230218,3.229567136,3.349765247,3.454117246,3.547094301,3.648050723,3.770446127,3.900241158,4.032783433,4.163939894,4.281219702,4.405062276,4.517914001,4.623084581,4.735554976,4.864139238,5.00103252,5.125076646,5.244060135,5.365295574,5.486000655,5.606726975,5.727688246,5.84909863,5.971172373,6.094129313,6.21819311,6.343459071,6.470163647
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Below 2°C,Median,95,High,95,0,-0.019623826,-0.042791853,-0.060078309,-0.08320966,-0.120130202,-0.148054469,-0.181176885,-0.191595575,-0.196107462,-0.213167187,-0.214897444,-0.210727342,-0.187794439,-0.156439446,-0.115557074,-0.073540005,-0.045608403,-0.005863985,0.036778493,0.078145118,0.137160712,0.201102294,0.251840107,0.319142662,0.405775949,0.487216812,0.562586539,0.649466299,0.7237919,0.77528421,0.845669369,0.905921128,0.963966032,1.020535443,1.081297353,1.158208336,1.241750281,1.345704365,1.44946839,1.544686655,1.635212896,1.710026162,1.788320904,1.867494036,1.946405811,2.02653044,2.129033391,2.239730565,2.336656712,2.426637389,2.527455582,2.624237115,2.742919235,2.860199206,2.963452698,3.051432671,3.143943149,3.254356084,3.362314168,3.472391084,3.592003766,3.693812769,3.79439237,3.889173508,3.991444397,4.10364869,4.221948959,4.345600447,4.464348637,4.583427346,4.70386891,4.823112574,4.942105742,5.061214643,5.180575375,5.300415705,5.420967231,5.542463816,5.665052592,5.788933647
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Delayed transition,High,5,High,95,0,-0.008871044,-0.003342934,0.014435059,0.05172132,0.119944293,0.235396264,0.343709454,0.419631693,0.418819249,0.271816199,-0.043577013,-0.474856149,-0.919673549,-1.331765716,-1.67018618,-1.907143738,-2.070770123,-2.140904226,-2.152309951,-2.144223632,-2.103892429,-2.053478827,-2.008997218,-1.92681961,-1.811861923,-1.682583291,-1.546708359,-1.414098658,-1.311872819,-1.251060369,-1.190351957,-1.142966199,-1.09763838,-1.058989119,-1.014030556,-0.950909846,-0.878595555,-0.778023744,-0.666915008,-0.549922149,-0.427888484,-0.325871777,-0.22386109,-0.121856667,-0.02066548,0.079392206,0.199099289,0.321484419,0.445914695,0.580497324,0.740795641,0.900271084,1.082656188,1.258834836,1.419612962,1.566241424,1.720567556,1.888808543,2.052767046,2.217146424,2.387702714,2.542859867,2.700648316,2.847077903,2.993257323,3.145256663,3.305444478,3.472369667,3.632086394,3.788743504,3.942933093,4.093889394,4.242453899,4.389455152,4.535664914,4.681666278,4.828216554,4.976020839,5.125647742,5.277799847
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Delayed transition,High,50,High,95,0,-0.025456041,-0.041091667,-0.05010479,-0.040554848,0.00820188,0.113453847,0.207805555,0.269230685,0.259141634,0.094778352,-0.238144553,-0.692333118,-1.165657814,-1.598428257,-1.961702993,-2.224844092,-2.413065368,-2.502363919,-2.532384502,-2.533701753,-2.493319896,-2.443639804,-2.400682053,-2.319766119,-2.211985933,-2.094023578,-1.96767717,-1.84097979,-1.752184813,-1.698845121,-1.64015813,-1.592443033,-1.54814709,-1.512535824,-1.469885173,-1.408550055,-1.343985303,-1.252366799,-1.151735998,-1.039769345,-0.921366701,-0.821018062,-0.720042613,-0.62000672,-0.518819064,-0.419091923,-0.3021595,-0.183457467,-0.0593001,0.075051265,0.235675102,0.395210747,0.577315697,0.751449672,0.911582771,1.058024304,1.211918472,1.377754592,1.540427291,1.704477741,1.87271215,2.026306453,2.183425203,2.329635089,2.469790849,2.617734614,2.776861546,2.943263752,3.097827728,3.25007442,3.403644078,3.553904096,3.701811759,3.848171241,3.993731227,4.139097094,4.284959884,4.432047544,4.580993522,4.732435507
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Delayed transition,Median,5,High,95,0,0.016105796,0.051361711,0.10027735,0.169052607,0.262110212,0.395774243,0.519917353,0.610473326,0.623192133,0.493404051,0.20535114,-0.192364385,-0.607368556,-0.994328345,-1.309010684,-1.522023866,-1.660851827,-1.713932828,-1.717383938,-1.699945913,-1.653045785,-1.598680921,-1.544955339,-1.455098447,-1.335436741,-1.203403383,-1.065046236,-0.926519741,-0.820255455,-0.750869483,-0.67770183,-0.618664914,-0.563472311,-0.515175916,-0.463506852,-0.392571516,-0.31345912,-0.21069428,-0.096700595,0.032469245,0.163095294,0.272360482,0.385370283,0.504584085,0.619130073,0.726007479,0.850121365,0.984472433,1.121433494,1.275568876,1.456846293,1.635059836,1.833679039,2.026551643,2.200839907,2.361216986,2.527793208,2.710403309,2.890924808,3.070400692,3.251597009,3.417744535,3.586258539,3.743095304,3.896510307,4.057404391,4.229545654,4.407745548,4.574613796,4.734400686,4.891690096,5.045494861,5.196877977,5.346562208,5.495353101,5.64386641,5.792891789,5.943079683,6.095031535,6.249482316
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Delayed transition,Median,50,High,95,0,0.008438596,0.033475291,0.069566141,0.124586716,0.207879382,0.336289611,0.453855318,0.537047728,0.544970248,0.407413366,0.109968584,-0.298869537,-0.728450417,-1.126305999,-1.453099191,-1.679744107,-1.831209895,-1.896540982,-1.910583983,-1.897848202,-1.852065011,-1.799176702,-1.744940987,-1.65578425,-1.540319517,-1.414003075,-1.281195351,-1.146549211,-1.047070905,-0.985297514,-0.914421728,-0.855709984,-0.805323569,-0.759109499,-0.708597032,-0.639098367,-0.563430149,-0.465353433,-0.356349324,-0.22927123,-0.100751239,0.004737284,0.116605291,0.240463822,0.360426505,0.469441293,0.591593196,0.726392402,0.867508998,1.026991824,1.212444697,1.392057438,1.591315923,1.789212418,1.968049486,2.130117484,2.296563905,2.481480042,2.669727758,2.856739752,3.03885598,3.204037817,3.374061803,3.532279627,3.682319341,3.839466362,4.011643038,4.191207195,4.355857309,4.512657112,4.668684647,4.821214641,4.971328406,5.119901547,5.267572225,5.415061015,5.56303901,5.712258699,5.8633337,6.016883685
"Netherlands, The",NL,NLD,Potential National Income Benefit from Avoided Chronic Climate Damages,,MESSAGEix-GLOBIOM,Delayed transition,Median,95,High,95,0,-0.005025756,0.008397542,0.04425396,0.099220491,0.180408552,0.301279641,0.407594904,0.479402559,0.46690334,0.310667473,0.004516639,-0.406565799,-0.837776757,-1.252869185,-1.600145806,-1.837181864,-1.989863974,-2.065313796,-2.097097029,-2.100651269,-2.078938142,-2.046200674,-2.010876622,-1.94249029,-1.841202134,-1.734987186,-1.627875548,-1.510895652,-1.409912576,-1.343509765,-1.277673592,-1.232634366,-1.196472186,-1.159072004,-1.114675676,-1.049808501,-0.971659286,-0.869675756,-0.756886796,-0.638767319,-0.516536051,-0.405471497,-0.289175855,-0.174563737,-0.063151653,0.054280933,0.191137825,0.326814602,0.453878551,0.589455055,0.751195709,0.919444617,1.114858688,1.309992964,1.488905283,1.646955293,1.803976258,1.979512955,2.149814614,2.317724185,2.495155141,2.652995411,2.806746684,2.951825673,3.102082983,3.261288714,3.426501487,3.595399517,3.754864252,3.911323427,4.066288838,4.217393961,4.366295796,4.513650917,4.660156559,4.806457191,4.95332519,5.101393897,5.251333895,5.403776685
