Country,ISO2,ISO3,Indicator,Source,Model,Scenario,Damage,Percentile,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
"Netherlands, The",NL,NLD,Potential National Income Loss from Chronic Climate Damages,,GCAM,Below 2°C,High,5,0,-0.052426619,-0.11471238,-0.180741365,-0.241466256,-0.291206366,-0.331901427,-0.37110411,-0.409040266,-0.443182931,-0.480653882,-0.518425651,-0.564405731,-0.613668684,-0.6548151,-0.697934794,-0.746875337,-0.798744848,-0.831043278,-0.853847869,-0.868182771,-0.871360807,-0.8803194,-0.886384714,-0.889381955,-0.905799082,-0.929767672,-0.95071936,-0.968070641,-0.985989037,-0.997018662,-1.000451072,-1.000546083,-1.005154741,-1.009334572,-1.011849953,-1.014068942,-1.027214832,-1.042494892,-1.059058573,-1.069130004,-1.072752675,-1.074952557,-1.075886088,-1.080505172,-1.081451807,-1.081726119,-1.08438675,-1.090457148,-1.090713903,-1.094108159,-1.094491253,-1.09480429,-1.095032118,-1.098444997,-1.099271316,-1.100029876,-1.100455617,-1.10396802,-1.105337117,-1.106007646,-1.107946215,-1.110467277,-1.110960079,-1.111596177,-1.115812615,-1.119804452,-1.12138281,-1.121750816,-1.126164124,-1.129550442,-1.130003446,-1.130036926,-1.130070462,-1.130104031,-1.130137632,-1.130171263,-1.130204925,-1.130238615,-1.130272332,-1.130306077
"Netherlands, The",NL,NLD,Potential National Income Loss from Chronic Climate Damages,,GCAM,Below 2°C,High,50,0,-0.073844367,-0.162907561,-0.257975341,-0.351942642,-0.427771962,-0.483192986,-0.53590589,-0.587655105,-0.634990851,-0.689676055,-0.753199424,-0.827761893,-0.901102876,-0.96128239,-1.024428822,-1.096156793,-1.178362296,-1.234551511,-1.272671779,-1.296014493,-1.299700751,-1.319953357,-1.333566188,-1.34484633,-1.372618218,-1.405956915,-1.432156712,-1.460989457,-1.496010483,-1.521488289,-1.530251371,-1.532291905,-1.547606138,-1.558097214,-1.566367364,-1.572790013,-1.603991692,-1.641593877,-1.679755566,-1.700421457,-1.709251515,-1.719191168,-1.723235897,-1.731253624,-1.73296342,-1.733715917,-1.739132079,-1.745608573,-1.745291377,-1.750313396,-1.749563884,-1.749117878,-1.748765726,-1.751926807,-1.752736513,-1.753413739,-1.754032461,-1.759371878,-1.760888999,-1.760524346,-1.763944646,-1.768218158,-1.768287952,-1.768492086,-1.778434632,-1.786011039,-1.78834859,-1.788281659,-1.798365747,-1.806816743,-1.807831345,-1.808149034,-1.808466866,-1.808784708,-1.809102552,-1.809420386,-1.809738201,-1.810055987,-1.810373734,-1.810691433
"Netherlands, The",NL,NLD,Potential National Income Loss from Chronic Climate Damages,,GCAM,Below 2°C,High,95,0,-0.116296245,-0.231487768,-0.324114042,-0.419629408,-0.499664521,-0.58155247,-0.676121061,-0.767671646,-0.874532992,-0.983537527,-1.065903248,-1.139672429,-1.215104396,-1.303552292,-1.39206428,-1.476376965,-1.551479315,-1.619514492,-1.690471984,-1.739897973,-1.794157878,-1.849188348,-1.896614549,-1.962418053,-2.029027565,-2.108807536,-2.187090784,-2.251626893,-2.293812202,-2.316013934,-2.32706402,-2.359439748,-2.406649937,-2.441393051,-2.47098667,-2.487709878,-2.49103802,-2.502654542,-2.522510734,-2.556932418,-2.581430944,-2.586411482,-2.58728523,-2.590232197,-2.592310581,-2.593196591,-2.593228418,-2.592961226,-2.605941075,-2.626957205,-2.641062396,-2.645233079,-2.646415982,-2.65030978,-2.649925547,-2.652235551,-2.666067588,-2.676865343,-2.68427444,-2.688799644,-2.688995573,-2.697004088,-2.710166081,-2.717105557,-2.718730956,-2.717960973,-2.717786363,-2.717559174,-2.719762782,-2.722579417,-2.7221147,-2.721839552,-2.721565533,-2.72129274,-2.72102118,-2.720750863,-2.720481799,-2.720213995,-2.719947461,-2.719682205
"Netherlands, The",NL,NLD,Potential National Income Loss from Chronic Climate Damages,,GCAM,Below 2°C,Median,5,0,-0.024065818,-0.053273916,-0.084579696,-0.113791544,-0.137853845,-0.157537784,-0.176273496,-0.194610131,-0.211172516,-0.228914095,-0.247280931,-0.268822494,-0.292812562,-0.313075104,-0.333616112,-0.357358887,-0.382621932,-0.397561231,-0.407837033,-0.411111511,-0.410110791,-0.414061532,-0.413959182,-0.413062951,-0.419798617,-0.431413402,-0.441865919,-0.450439478,-0.459210976,-0.464251159,-0.461730758,-0.457330851,-0.457802803,-0.456723682,-0.455552575,-0.454543014,-0.458380281,-0.466024158,-0.473918969,-0.473795467,-0.471656304,-0.472187145,-0.469944048,-0.458914594,-0.448179923,-0.444441941,-0.444576243,-0.438288632,-0.426747802,-0.410177393,-0.39382295,-0.382683335,-0.373873606,-0.360351987,-0.34817487,-0.339803852,-0.333678901,-0.32435694,-0.309241192,-0.294363615,-0.286927381,-0.280717142,-0.271905154,-0.263323502,-0.260725962,-0.258333553,-0.249859558,-0.241705961,-0.240444904,-0.241909685,-0.241817835,-0.241364566,-0.240911392,-0.240458245,-0.24000514,-0.239552089,-0.239099109,-0.238646212,-0.238193412,-0.237740724
"Netherlands, The",NL,NLD,Potential National Income Loss from Chronic Climate Damages,,GCAM,Below 2°C,Median,50,0,-0.034359292,-0.076348853,-0.121925132,-0.167316351,-0.204551987,-0.231795106,-0.257266234,-0.282637598,-0.305909664,-0.332057492,-0.363003178,-0.399128974,-0.435634063,-0.465799674,-0.496521249,-0.531994751,-0.57247294,-0.599941313,-0.618401852,-0.627886369,-0.629324045,-0.63785898,-0.641421584,-0.644260764,-0.657247441,-0.674020066,-0.687401505,-0.701346072,-0.718895032,-0.73180209,-0.732867349,-0.731393534,-0.737692937,-0.738853336,-0.739711929,-0.741761309,-0.75343296,-0.77272253,-0.791826625,-0.796967249,-0.797678732,-0.802787582,-0.804384817,-0.790469941,-0.776648196,-0.774030302,-0.775979243,-0.770823998,-0.759638581,-0.738093583,-0.714386611,-0.698079779,-0.685922254,-0.668302619,-0.653789946,-0.644302734,-0.637813314,-0.62529668,-0.601251708,-0.578048241,-0.568483991,-0.560026922,-0.54653866,-0.533585036,-0.531863646,-0.531887639,-0.521637297,-0.509609051,-0.509090691,-0.512836063,-0.513304333,-0.513463626,-0.513623002,-0.513782387,-0.513941773,-0.514101157,-0.514260533,-0.514419897,-0.514579243,-0.514738567
"Netherlands, The",NL,NLD,Potential National Income Loss from Chronic Climate Damages,,GCAM,Below 2°C,Median,95,0,-0.053619707,-0.11029322,-0.155965504,-0.202131769,-0.242043229,-0.281225756,-0.327812479,-0.37355531,-0.42552519,-0.480477612,-0.522425851,-0.559168568,-0.597376649,-0.641178931,-0.686502484,-0.729419068,-0.768185695,-0.803067144,-0.839265412,-0.864518351,-0.890326731,-0.919073126,-0.943602444,-0.97616834,-1.011060478,-1.051089063,-1.092297964,-1.126251775,-1.148304413,-1.160065749,-1.16553471,-1.179337691,-1.203838468,-1.222107026,-1.237206696,-1.242905324,-1.2430126,-1.248492433,-1.258521744,-1.275654729,-1.287893134,-1.288316263,-1.281713678,-1.278749513,-1.279792058,-1.278712036,-1.275660711,-1.271992355,-1.276042953,-1.286988093,-1.294228787,-1.292441084,-1.289927023,-1.282169101,-1.273206748,-1.271923416,-1.278064787,-1.283368025,-1.286938221,-1.288108933,-1.285442151,-1.287500742,-1.294368966,-1.296487009,-1.290230608,-1.281014115,-1.275421776,-1.272395172,-1.272077082,-1.269169931,-1.264200564,-1.260423649,-1.256647984,-1.252873926,-1.249101595,-1.24533111,-1.241562588,-1.237796145,-1.234031896,-1.230269956
"Netherlands, The",NL,NLD,Potential National Income Loss from Chronic Climate Damages,,GCAM,Current Policies,High,5,0,-0.05047394,-0.108444622,-0.172825028,-0.236798189,-0.288149346,-0.33028322,-0.37321292,-0.414841689,-0.450656791,-0.491958717,-0.537455697,-0.592381447,-0.64909458,-0.699583665,-0.750382399,-0.806992517,-0.873273704,-0.920300566,-0.959213104,-0.985279705,-0.992699504,-1.018372403,-1.039610981,-1.057897698,-1.093255173,-1.137304512,-1.178451566,-1.2216725,-1.271136067,-1.313833809,-1.337801578,-1.356318404,-1.389771059,-1.418207733,-1.453871792,-1.491167635,-1.549549707,-1.613955883,-1.67942164,-1.720681136,-1.761240788,-1.8110771,-1.855082448,-1.876491671,-1.895249486,-1.932360822,-1.985166239,-2.020356728,-2.036314824,-2.047150398,-2.04787903,-2.056388983,-2.076161283,-2.088020513,-2.107430051,-2.130297703,-2.160474656,-2.178654619,-2.181809524,-2.181276212,-2.206046112,-2.226654085,-2.233603711,-2.243045817,-2.296890999,-2.344517418,-2.359991239,-2.367629895,-2.416210071,-2.466673564,-2.50310955,-2.536711511,-2.570358128,-2.604047967,-2.637779992,-2.671553175,-2.705366495,-2.739218935,-2.77310948,-2.80703712
"Netherlands, The",NL,NLD,Potential National Income Loss from Chronic Climate Damages,,GCAM,Current Policies,High,50,0,-0.041245651,-0.08378346,-0.137156627,-0.203497436,-0.273001009,-0.324980638,-0.372378581,-0.424084373,-0.474922339,-0.526141858,-0.59988736,-0.676614693,-0.744005556,-0.804829217,-0.859305037,-0.924632274,-0.99711779,-1.063860026,-1.113405079,-1.154058921,-1.225414577,-1.302484454,-1.374205247,-1.434160325,-1.500679997,-1.563312677,-1.638564695,-1.704097818,-1.766239915,-1.820494081,-1.854565944,-1.869368563,-1.894056325,-1.928722582,-1.977339092,-2.035622284,-2.08997139,-2.128564479,-2.172837887,-2.226973446,-2.274717519,-2.299798045,-2.33437826,-2.365388217,-2.394737653,-2.426111671,-2.479812954,-2.531404677,-2.604115938,-2.668864437,-2.725740023,-2.772767004,-2.82833107,-2.88238381,-2.914865974,-2.960718957,-3.035711305,-3.107263306,-3.189695824,-3.260943669,-3.313421055,-3.365379934,-3.418128977,-3.45483129,-3.505352165,-3.55919288,-3.610276135,-3.65960751,-3.713340696,-3.745130077,-3.777919323,-3.821989985,-3.866119622,-3.910316734,-3.954579949,-3.998907902,-4.043299238,-4.087752605,-4.132266653,-4.176840033
"Netherlands, The",NL,NLD,Potential National Income Loss from Chronic Climate Damages,,GCAM,Current Policies,High,95,0,-0.080849539,-0.177450082,-0.269887033,-0.358647579,-0.43301022,-0.514145566,-0.588090579,-0.673504057,-0.765071904,-0.838104002,-0.900015365,-0.956599664,-1.034115811,-1.122957679,-1.220756623,-1.313114699,-1.383147257,-1.466126978,-1.543801222,-1.60604721,-1.685586452,-1.77303779,-1.847586187,-1.942599988,-2.061907535,-2.179489739,-2.282985408,-2.389573849,-2.480934561,-2.546659378,-2.623326857,-2.693571417,-2.767376402,-2.843798383,-2.92795358,-3.021062607,-3.114814681,-3.22019379,-3.323723126,-3.42511743,-3.526222613,-3.611261238,-3.68947502,-3.767660052,-3.844178146,-3.920842948,-4.021529176,-4.12324944,-4.210049875,-4.295213467,-4.388872262,-4.474035081,-4.565144475,-4.654500686,-4.73985219,-4.816357364,-4.895061542,-4.983750466,-5.068234486,-5.153901769,-5.245091878,-5.322626193,-5.402180012,-5.470521866,-5.541292125,-5.614539889,-5.690564505,-5.772335463,-5.848300469,-5.919730555,-5.994014963,-6.070110562,-6.146378233,-6.222815681,-6.299420402,-6.376189902,-6.453121689,-6.530213276,-6.60746217,-6.684865871
"Netherlands, The",NL,NLD,Potential National Income Loss from Chronic Climate Damages,,GCAM,Current Policies,Median,5,0,-0.023142066,-0.050449932,-0.080705771,-0.111347961,-0.136236589,-0.156513401,-0.176988617,-0.197124187,-0.214558877,-0.233888599,-0.255891382,-0.281826332,-0.309537313,-0.334312114,-0.358918995,-0.386342453,-0.418357376,-0.441219356,-0.459463694,-0.471051772,-0.474660919,-0.485478878,-0.495692371,-0.504078582,-0.520419519,-0.542122005,-0.56273856,-0.583925016,-0.608340019,-0.629944186,-0.641692076,-0.650514416,-0.666231084,-0.680578247,-0.697080759,-0.71604343,-0.743219073,-0.775967289,-0.808764361,-0.828413165,-0.846487158,-0.87187716,-0.894476322,-0.901976212,-0.908291776,-0.926393912,-0.952604445,-0.969500376,-0.977470443,-0.972953046,-0.964277729,-0.966268867,-0.975787425,-0.977209693,-0.982425978,-0.99430711,-1.008835416,-1.013969151,-1.001466947,-0.988220417,-0.994619883,-1.003835057,-1.007068574,-1.011863414,-1.03467284,-1.058933328,-1.065628165,-1.068847615,-1.089700238,-1.116119162,-1.135164607,-1.152568008,-1.170012387,-1.187496925,-1.205021046,-1.222584174,-1.240185739,-1.257825167,-1.275501887,-1.293215326
