Country,Time,Balance,Product,Value,Unit
Belgium,June 2023,Net Electricity Production,Solar,1215.9054,GWh
Luxembourg,June 2023,Net Electricity Production,Solar,29.575,GWh
Netherlands,June 2023,Net Electricity Production,Solar,3592.8566,GWh
Belgium,May 2023,Net Electricity Production,Solar,1076.5222,GWh
Luxembourg,May 2023,Net Electricity Production,Solar,30.1448,GWh
Netherlands,May 2023,Net Electricity Production,Solar,3051.681,GWh
Belgium,April 2023,Net Electricity Production,Solar,804.112,GWh
Luxembourg,April 2023,Net Electricity Production,Solar,24.116,GWh
Netherlands,April 2023,Net Electricity Production,Solar,2088.4253,GWh
Belgium,March 2023,Net Electricity Production,Solar,489.0317,GWh
Luxembourg,March 2023,Net Electricity Production,Solar,15.8328,GWh
Netherlands,March 2023,Net Electricity Production,Solar,1227.7605,GWh
Belgium,February 2023,Net Electricity Production,Solar,332.9332,GWh
Luxembourg,February 2023,Net Electricity Production,Solar,9.199,GWh
Netherlands,February 2023,Net Electricity Production,Solar,698.389,GWh
Belgium,January 2023,Net Electricity Production,Solar,130.1509,GWh
Luxembourg,January 2023,Net Electricity Production,Solar,2.6143,GWh
Netherlands,January 2023,Net Electricity Production,Solar,347.2861,GWh
Belgium,December 2022,Net Electricity Production,Solar,101.8075,GWh
Luxembourg,December 2022,Net Electricity Production,Solar,3.4628,GWh
Netherlands,December 2022,Net Electricity Production,Solar,293.4145,GWh
Belgium,November 2022,Net Electricity Production,Solar,211.1609,GWh
Luxembourg,November 2022,Net Electricity Production,Solar,7.1341,GWh
Netherlands,November 2022,Net Electricity Production,Solar,489.6003,GWh
Belgium,October 2022,Net Electricity Production,Solar,455.5418,GWh
Luxembourg,October 2022,Net Electricity Production,Solar,9.1178,GWh
Netherlands,October 2022,Net Electricity Production,Solar,975.1469,GWh
Belgium,September 2022,Net Electricity Production,Solar,580.8384,GWh
Luxembourg,September 2022,Net Electricity Production,Solar,19.8354,GWh
Netherlands,September 2022,Net Electricity Production,Solar,1531.3397,GWh
Belgium,August 2022,Net Electricity Production,Solar,925.4451,GWh
Luxembourg,August 2022,Net Electricity Production,Solar,27.4589,GWh
Netherlands,August 2022,Net Electricity Production,Solar,2449.298,GWh
Belgium,July 2022,Net Electricity Production,Solar,999.3721,GWh
Luxembourg,July 2022,Net Electricity Production,Solar,33.307,GWh
Netherlands,July 2022,Net Electricity Production,Solar,2620.6998,GWh
Belgium,June 2022,Net Electricity Production,Solar,934.7213,GWh
Luxembourg,June 2022,Net Electricity Production,Solar,28.6336,GWh
Netherlands,June 2022,Net Electricity Production,Solar,2651.6808,GWh
Belgium,May 2022,Net Electricity Production,Solar,948.8488,GWh
Luxembourg,May 2022,Net Electricity Production,Solar,31.806,GWh
Netherlands,May 2022,Net Electricity Production,Solar,2430.5041,GWh
Belgium,April 2022,Net Electricity Production,Solar,763.6031,GWh
Luxembourg,April 2022,Net Electricity Production,Solar,25.5365,GWh
Netherlands,April 2022,Net Electricity Production,Solar,1868.5661,GWh
Belgium,March 2022,Net Electricity Production,Solar,675.1376,GWh
Luxembourg,March 2022,Net Electricity Production,Solar,17.2899,GWh
Netherlands,March 2022,Net Electricity Production,Solar,1497.7135,GWh
Belgium,February 2022,Net Electricity Production,Solar,286.932,GWh
Luxembourg,February 2022,Net Electricity Production,Solar,6.3178,GWh
Netherlands,February 2022,Net Electricity Production,Solar,568.006,GWh
Belgium,January 2022,Net Electricity Production,Solar,128.4677,GWh
Luxembourg,January 2022,Net Electricity Production,Solar,3.5776,GWh
Netherlands,January 2022,Net Electricity Production,Solar,273.9318,GWh
Belgium,December 2021,Net Electricity Production,Solar,75.7949,GWh
Luxembourg,December 2021,Net Electricity Production,Solar,4.2645,GWh
Netherlands,December 2021,Net Electricity Production,Solar,180.2579,GWh
Belgium,November 2021,Net Electricity Production,Solar,149.2234,GWh
Luxembourg,November 2021,Net Electricity Production,Solar,6.3653,GWh
Netherlands,November 2021,Net Electricity Production,Solar,290.4574,GWh
Belgium,October 2021,Net Electricity Production,Solar,326.6058,GWh
Luxembourg,October 2021,Net Electricity Production,Solar,7.7302,GWh
Netherlands,October 2021,Net Electricity Production,Solar,621.7717,GWh
Belgium,September 2021,Net Electricity Production,Solar,566.811,GWh
Luxembourg,September 2021,Net Electricity Production,Solar,18.0967,GWh
Netherlands,September 2021,Net Electricity Production,Solar,1114.0811,GWh
Belgium,August 2021,Net Electricity Production,Solar,616.7304,GWh
Luxembourg,August 2021,Net Electricity Production,Solar,22.6845,GWh
Netherlands,August 2021,Net Electricity Production,Solar,1392.3205,GWh
Belgium,July 2021,Net Electricity Production,Solar,711.3706,GWh
Luxembourg,July 2021,Net Electricity Production,Solar,26.7106,GWh
Netherlands,July 2021,Net Electricity Production,Solar,1629.895,GWh
Belgium,June 2021,Net Electricity Production,Solar,780.6142,GWh
Luxembourg,June 2021,Net Electricity Production,Solar,27.2321,GWh
Netherlands,June 2021,Net Electricity Production,Solar,1853.1301,GWh
Belgium,May 2021,Net Electricity Production,Solar,751.0118,GWh
Luxembourg,May 2021,Net Electricity Production,Solar,24.7875,GWh
Netherlands,May 2021,Net Electricity Production,Solar,1537.9686,GWh
Belgium,April 2021,Net Electricity Production,Solar,711.2318,GWh
Luxembourg,April 2021,Net Electricity Production,Solar,21.7724,GWh
Netherlands,April 2021,Net Electricity Production,Solar,1366.9817,GWh
Belgium,March 2021,Net Electricity Production,Solar,530.5326,GWh
Luxembourg,March 2021,Net Electricity Production,Solar,13.2602,GWh
Netherlands,March 2021,Net Electricity Production,Solar,837.7871,GWh
Belgium,February 2021,Net Electricity Production,Solar,255.1264,GWh
Luxembourg,February 2021,Net Electricity Production,Solar,4.8095,GWh
Netherlands,February 2021,Net Electricity Production,Solar,465.9249,GWh
Belgium,January 2021,Net Electricity Production,Solar,102.9469,GWh
Luxembourg,January 2021,Net Electricity Production,Solar,2.4746,GWh
Netherlands,January 2021,Net Electricity Production,Solar,204.888,GWh
Belgium,December 2020,Net Electricity Production,Solar,77.4282,GWh
Luxembourg,December 2020,Net Electricity Production,Solar,4.1432,GWh
Netherlands,December 2020,Net Electricity Production,Solar,135.9733,GWh
Belgium,November 2020,Net Electricity Production,Solar,149.5961,GWh
Luxembourg,November 2020,Net Electricity Production,Solar,3.3932,GWh
Netherlands,November 2020,Net Electricity Production,Solar,243.2255,GWh
Belgium,October 2020,Net Electricity Production,Solar,214.5256,GWh
Luxembourg,October 2020,Net Electricity Production,Solar,8.8344,GWh
Netherlands,October 2020,Net Electricity Production,Solar,355.8779,GWh
Belgium,September 2020,Net Electricity Production,Solar,472.581,GWh
Luxembourg,September 2020,Net Electricity Production,Solar,15.7747,GWh
Netherlands,September 2020,Net Electricity Production,Solar,802.0536,GWh
Belgium,August 2020,Net Electricity Production,Solar,592.2745,GWh
Luxembourg,August 2020,Net Electricity Production,Solar,20.1435,GWh
Netherlands,August 2020,Net Electricity Production,Solar,1127.544,GWh
Belgium,July 2020,Net Electricity Production,Solar,652.4964,GWh
Luxembourg,July 2020,Net Electricity Production,Solar,24.7803,GWh
Netherlands,July 2020,Net Electricity Production,Solar,1177.6254,GWh
Belgium,June 2020,Net Electricity Production,Solar,688.2538,GWh
Luxembourg,June 2020,Net Electricity Production,Solar,20.6145,GWh
Netherlands,June 2020,Net Electricity Production,Solar,1233.8666,GWh
Belgium,May 2020,Net Electricity Production,Solar,814.2044,GWh
Luxembourg,May 2020,Net Electricity Production,Solar,24.6336,GWh
Netherlands,May 2020,Net Electricity Production,Solar,1389.6554,GWh
Belgium,April 2020,Net Electricity Production,Solar,692.2705,GWh
Luxembourg,April 2020,Net Electricity Production,Solar,20.6797,GWh
Netherlands,April 2020,Net Electricity Production,Solar,1104.4587,GWh
Belgium,March 2020,Net Electricity Production,Solar,459.6754,GWh
Luxembourg,March 2020,Net Electricity Production,Solar,12.031,GWh
Netherlands,March 2020,Net Electricity Production,Solar,661.7874,GWh
Belgium,February 2020,Net Electricity Production,Solar,165.1959,GWh
Luxembourg,February 2020,Net Electricity Production,Solar,3.6984,GWh
Netherlands,February 2020,Net Electricity Production,Solar,221.6359,GWh
Belgium,January 2020,Net Electricity Production,Solar,97.2983,GWh
Luxembourg,January 2020,Net Electricity Production,Solar,2.5345,GWh
