Country,ISO2,ISO3,Indicator,Source,Model,Scenario,Damage,Percentile,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Below 2°C,High,5,0.0,-0.05436816,-0.119732467,-0.183505367,-0.240728442,-0.290224068,-0.334797834,-0.373490747,-0.414745124,-0.45215959,-0.485984876,-0.521176663,-0.569020965,-0.622743259,-0.668075349,-0.706610886,-0.753094609,-0.809758578,-0.845565262,-0.8612185,-0.870882815,-0.874145833,-0.881567074,-0.886695754,-0.895107101,-0.914643175,-0.939636089,-0.962539016,-0.984693124,-1.003496789,-1.012821968,-1.014983929,-1.015273406,-1.016588619,-1.020552309,-1.024677533,-1.031178494,-1.04428282,-1.057154933,-1.066204597,-1.072814892,-1.073756815,-1.075793439,-1.077176222,-1.08335569,-1.085382461,-1.087598363,-1.088914821,-1.094131642,-1.09594154,-1.099267711,-1.100881782,-1.101981392,-1.102976971,-1.107659647,-1.110660149,-1.112667883,-1.113924589,-1.115670262,-1.118636717,-1.120121272,-1.124367964,-1.127435309,-1.129125765,-1.131824771,-1.137592514,-1.1429172,-1.145445762,-1.147083682,-1.148425573,-1.151926459,-1.15462771,-1.155236043,-1.15584466,-1.15645321,-1.157061695,-1.157670113,-1.158278465,-1.158886751,-1.159494968,-1.160103114
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Below 2°C,High,50,0.0,-0.07645342,-0.169747852,-0.261900549,-0.35128168,-0.426799692,-0.487544837,-0.539485385,-0.59588191,-0.64773386,-0.697372044,-0.757699954,-0.83497549,-0.914718988,-0.980919675,-1.037686748,-1.106056026,-1.195467776,-1.256530483,-1.284879211,-1.303917832,-1.311726392,-1.329790822,-1.342020539,-1.362410121,-1.395671139,-1.430591399,-1.459548328,-1.495821473,-1.532251759,-1.555226705,-1.563307269,-1.568595984,-1.579804593,-1.588581132,-1.598840722,-1.616014506,-1.64836245,-1.682746699,-1.709801718,-1.723020664,-1.724054115,-1.733604625,-1.743771103,-1.754372895,-1.757822212,-1.764665826,-1.770339212,-1.774637378,-1.776026933,-1.779822199,-1.780633804,-1.781209984,-1.781736307,-1.786192836,-1.791160492,-1.794207895,-1.795220738,-1.79676242,-1.800933221,-1.80244322,-1.811723487,-1.818715355,-1.820982279,-1.824075313,-1.836408216,-1.845760983,-1.848877384,-1.850180553,-1.854702766,-1.862354618,-1.867691507,-1.870145185,-1.872513287,-1.874798364,-1.877003321,-1.879130963,-1.881183993,-1.883165018,-1.885076554,-1.886921027
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Below 2°C,High,95,0.0,-0.114004924,-0.222710266,-0.31051803,-0.400928667,-0.476734944,-0.559978764,-0.650909718,-0.742800546,-0.848935218,-0.95223709,-1.029612185,-1.10794904,-1.187772575,-1.286008688,-1.384435586,-1.475492907,-1.552333891,-1.614156565,-1.689204931,-1.747483929,-1.816197862,-1.882244746,-1.94008449,-2.018810975,-2.093841092,-2.175043438,-2.250411014,-2.313347547,-2.354548093,-2.379101866,-2.395913963,-2.43199115,-2.476581202,-2.508859322,-2.541657998,-2.561050562,-2.572893536,-2.591013587,-2.617225167,-2.656467918,-2.681111534,-2.684278564,-2.684002488,-2.691043676,-2.69789908,-2.699810776,-2.69974841,-2.702697427,-2.721576353,-2.744700882,-2.75970846,-2.765250996,-2.766758641,-2.769461802,-2.769385396,-2.769396578,-2.78649441,-2.798855929,-2.801850008,-2.805260408,-2.807508262,-2.818167468,-2.829086759,-2.833541594,-2.834211842,-2.833885795,-2.834188807,-2.834522713,-2.834729999,-2.835217269,-2.835136204,-2.835041001,-2.834947387,-2.834855359,-2.834764918,-2.834676065,-2.834588799,-2.834503122,-2.834419035,-2.834336538
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Below 2°C,Median,5,0.0,-0.022944377,-0.051908232,-0.08062926,-0.106564249,-0.129114462,-0.149372981,-0.167131858,-0.185512969,-0.202821618,-0.218206465,-0.234279512,-0.255305274,-0.28006021,-0.301287542,-0.319190965,-0.340128683,-0.366140946,-0.381524784,-0.388480333,-0.391502511,-0.392120413,-0.395365509,-0.395086117,-0.396522441,-0.405046433,-0.416639371,-0.427516405,-0.437842535,-0.446818144,-0.450740529,-0.449417601,-0.447133959,-0.446908655,-0.443187841,-0.441054924,-0.443956649,-0.449631396,-0.45578537,-0.460113009,-0.456881484,-0.45110557,-0.450245405,-0.45020244,-0.441733555,-0.433064342,-0.431924425,-0.432361476,-0.426044328,-0.414293121,-0.39929751,-0.386212158,-0.377529533,-0.370174716,-0.357898897,-0.348621325,-0.343053958,-0.335531614,-0.326921215,-0.315074557,-0.304484571,-0.302002397,-0.301076111,-0.296059616,-0.287096002,-0.283577174,-0.280800321,-0.271536481,-0.264673338,-0.263254763,-0.264562668,-0.26567848,-0.265959984,-0.266241661,-0.266523318,-0.266804954,-0.267086571,-0.267368166,-0.267649742,-0.267931295,-0.268212827
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Below 2°C,Median,50,0.0,-0.032889613,-0.074595726,-0.116699326,-0.157493831,-0.192664811,-0.220901082,-0.245165429,-0.270777766,-0.295238094,-0.318155338,-0.345806235,-0.381244177,-0.419061991,-0.450822199,-0.477893332,-0.509530562,-0.551305573,-0.579451406,-0.59303495,-0.602059629,-0.605859569,-0.613292622,-0.616505576,-0.622794568,-0.638564882,-0.655505884,-0.66973635,-0.686457946,-0.704387464,-0.715584605,-0.718424985,-0.720110546,-0.725264265,-0.72222681,-0.721527434,-0.729732273,-0.744297713,-0.761299542,-0.774716894,-0.774741371,-0.769395801,-0.772173996,-0.777209695,-0.767196988,-0.756514005,-0.758094983,-0.760504786,-0.75506247,-0.743137075,-0.723835691,-0.70527938,-0.692875827,-0.6829698,-0.667110078,-0.657321239,-0.652457989,-0.643373416,-0.631923897,-0.613208408,-0.597172282,-0.596157776,-0.596884635,-0.589876071,-0.576058504,-0.572787074,-0.572190069,-0.560469938,-0.550661269,-0.549859043,-0.553444852,-0.555930523,-0.557117906,-0.558264052,-0.559370142,-0.560437569,-0.561467677,-0.562461764,-0.563421082,-0.564346838,-0.565240199
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Below 2°C,Median,95,0.0,-0.050168012,-0.101099326,-0.142213237,-0.183960545,-0.220036791,-0.257648777,-0.300808757,-0.344287912,-0.394115809,-0.444133849,-0.481966092,-0.518782469,-0.557832026,-0.603998171,-0.652672161,-0.697399072,-0.735804643,-0.766631313,-0.802598384,-0.831571799,-0.863024263,-0.896486194,-0.925217032,-0.963321075,-1.001596678,-1.041506676,-1.080174496,-1.112280782,-1.133083553,-1.145610973,-1.154172807,-1.169933146,-1.192803593,-1.209475404,-1.22559053,-1.232269539,-1.235866689,-1.245098081,-1.257945309,-1.277402681,-1.288293463,-1.285222419,-1.279049148,-1.279611854,-1.28305935,-1.283006297,-1.281785034,-1.28261196,-1.290739364,-1.302721871,-1.310410721,-1.308459779,-1.30540018,-1.300826162,-1.295285568,-1.293100201,-1.299452706,-1.303637951,-1.303996789,-1.305774087,-1.303834058,-1.306427219,-1.312049689,-1.310020278,-1.301005522,-1.290102158,-1.283576093,-1.279169888,-1.276008454,-1.273301945,-1.269544906,-1.265743703,-1.261945043,-1.258148908,-1.254355293,-1.250564195,-1.246775615,-1.242989559,-1.239206034,-1.235425052
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Current Policies,High,5,0.0,-0.052395546,-0.113395907,-0.175393918,-0.235956337,-0.28703373,-0.333108179,-0.37549806,-0.420462328,-0.459678667,-0.497246984,-0.540286825,-0.597173191,-0.658539376,-0.713441744,-0.759880773,-0.814064285,-0.885660239,-0.936210466,-0.967790873,-0.991415344,-1.002448415,-1.026607313,-1.047348647,-1.072826349,-1.11260536,-1.158226485,-1.202132151,-1.251706019,-1.302648406,-1.343814059,-1.370656896,-1.394746517,-1.425805424,-1.448076273,-1.483876317,-1.534520019,-1.59682918,-1.659143739,-1.714833625,-1.746996624,-1.774621885,-1.823054119,-1.874735509,-1.902099429,-1.926430517,-1.974052002,-2.027363447,-2.061219487,-2.074828737,-2.08166162,-2.084572177,-2.100611745,-2.125545371,-2.139531557,-2.173240995,-2.208963813,-2.231177731,-2.244615384,-2.252467943,-2.259845141,-2.306038762,-2.352055259,-2.379004889,-2.390436641,-2.448140799,-2.498587539,-2.512250264,-2.53315754,-2.578825298,-2.633489808,-2.682046755,-2.726442127,-2.770910563,-2.815451569,-2.860065302,-2.904751878,-2.94951137,-2.994343808,-3.039249182,-3.084227437
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Current Policies,High,50,0.0,-0.053021847,-0.102405325,-0.152605703,-0.220360064,-0.290072683,-0.334677423,-0.370289029,-0.416722243,-0.461868249,-0.512717739,-0.59177854,-0.670266421,-0.733268136,-0.791730506,-0.848638023,-0.915637629,-0.994617984,-1.062315444,-1.108921842,-1.148751413,-1.223387608,-1.292757055,-1.36689495,-1.438189532,-1.499951135,-1.551300685,-1.636832268,-1.715371105,-1.785930835,-1.838869259,-1.865602224,-1.886819126,-1.921357324,-1.966159063,-2.013825772,-2.074149882,-2.13132319,-2.175081962,-2.23206668,-2.296775508,-2.345238274,-2.366509747,-2.401443315,-2.433386788,-2.473473637,-2.515320023,-2.587925727,-2.647841778,-2.725778619,-2.796843374,-2.863541313,-2.91706285,-2.965523328,-3.013170059,-3.047677094,-3.105298287,-3.187322924,-3.269112093,-3.351213044,-3.42434995,-3.490313895,-3.56274227,-3.629070714,-3.676605527,-3.728211259,-3.772058382,-3.82235081,-3.871618601,-3.926451188,-3.960387203,-4.004598691,-4.064365792,-4.124253281,-4.184263456,-4.244396506,-4.304652563,-4.365031701,-4.425533935,-4.486159218,-4.546907446
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Current Policies,High,95,0.0,-0.078534631,-0.182389696,-0.281047231,-0.376172005,-0.455184396,-0.537060699,-0.616363412,-0.707205068,-0.799545132,-0.873748945,-0.9309289,-0.987014222,-1.066998811,-1.156829721,-1.262266517,-1.362799552,-1.437111167,-1.526097889,-1.607102949,-1.674362231,-1.763330272,-1.862862668,-1.943940132,-2.036404679,-2.152282323,-2.278595967,-2.389296606,-2.502135883,-2.602935117,-2.682603629,-2.770922549,-2.85700014,-2.948154153,-3.038739274,-3.139979996,-3.243744435,-3.344834432,-3.467689035,-3.589870727,-3.705547125,-3.818527049,-3.910535625,-3.995414279,-4.084866785,-4.175682926,-4.269926597,-4.377429689,-4.486094333,-4.587533766,-4.684269565,-4.780351174,-4.86688287,-4.961611347,-5.055431909,-5.154358646,-5.235694362,-5.32085957,-5.423475763,-5.517559753,-5.609270948,-5.710399726,-5.797514736,-5.887924589,-5.965038022,-6.043282875,-6.125762884,-6.208849704,-6.297242959,-6.383616503,-6.462126531,-6.545567764,-6.633858134,-6.722373973,-6.811115928,-6.900084006,-6.989278125,-7.078698111,-7.168343697,-7.258214521,-7.34831013
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Current Policies,Median,5,0.0,-0.022061936,-0.049208869,-0.076918126,-0.104221835,-0.127577528,-0.148383043,-0.1677978,-0.187911274,-0.206072083,-0.222956699,-0.242491663,-0.267746926,-0.296145896,-0.321788971,-0.343566111,-0.367978384,-0.400608912,-0.423736829,-0.438175525,-0.449237785,-0.454498359,-0.464295032,-0.473990892,-0.484780158,-0.502983361,-0.524521117,-0.545505078,-0.568612645,-0.593062971,-0.613043699,-0.626066465,-0.637366705,-0.651948983,-0.662499714,-0.677366164,-0.701492036,-0.73103693,-0.761516449,-0.788795454,-0.803379634,-0.815218096,-0.837828512,-0.863337653,-0.874338343,-0.883534141,-0.905779081,-0.932156931,-0.948504606,-0.955322065,-0.953080448,-0.95012275,-0.956525198,-0.968621656,-0.972088006,-0.983261359,-1.001200961,-1.012399051,-1.019113279,-1.01383237,-1.010670141,-1.029613478,-1.052832979,-1.066463206,-1.07095454,-1.092811591,-1.117386689,-1.122691515,-1.130509227,-1.152015554,-1.179505145,-1.204285388,-1.226726358,-1.249241572,-1.271830592,-1.294493375,-1.317229857,-1.340039955,-1.362923562,-1.385880551,-1.408910775
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Current Policies,Median,50,0.0,-0.020466261,-0.042969189,-0.06450864,-0.094630472,-0.12661728,-0.146716011,-0.162168853,-0.183192015,-0.20420991,-0.227145014,-0.261961137,-0.299043762,-0.328842433,-0.356292206,-0.383178115,-0.414063673,-0.451148544,-0.483855408,-0.506439858,-0.52544869,-0.558138872,-0.591971697,-0.626174238,-0.661205056,-0.691256049,-0.716633646,-0.754646815,-0.793613858,-0.827537471,-0.853607629,-0.867005311,-0.877532469,-0.893443614,-0.915430024,-0.939069973,-0.968212188,-0.997116746,-1.019276787,-1.046372937,-1.078937103,-1.103619874,-1.113078471,-1.127189554,-1.143254695,-1.161635152,-1.183100953,-1.216599308,-1.246811071,-1.282481033,-1.319106488,-1.352139945,-1.379765866,-1.40385284,-1.428656879,-1.4466882,-1.473671501,-1.515365724,-1.558093581,-1.600532409,-1.639104977,-1.673548797,-1.711057475,-1.746236505,-1.771536013,-1.797711998,-1.821058179,-1.846195797,-1.872548382,-1.900681653,-1.916174214,-1.935053393,-1.966770434,-1.998601385,-2.030547446,-2.062608509,-2.094784434,-2.127075056,-2.159480175,-2.191999565,-2.224632964
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Current Policies,Median,95,0.0,-0.036607673,-0.081700838,-0.128224634,-0.17180153,-0.209394047,-0.246469849,-0.284487305,-0.326136879,-0.370623621,-0.40665207,-0.434490892,-0.461219454,-0.498237688,-0.541890553,-0.592142175,-0.641938742,-0.678985469,-0.720726255,-0.761371318,-0.794668676,-0.837369703,-0.887115469,-0.928334233,-0.972983596,-1.030762732,-1.094550502,-1.151605484,-1.208324536,-1.260705348,-1.302041321,-1.346648631,-1.391589559,-1.438108218,-1.485536014,-1.537303583,-1.591853101,-1.64482941,-1.707959834,-1.773007159,-1.83419228,-1.894375468,-1.943992899,-1.988958439,-2.036720724,-2.085368487,-2.13581304,-2.192959082,-2.251870242,-2.306950098,-2.359515788,-2.411677515,-2.45920443,-2.509890945,-2.561552174,-2.615038272,-2.660152189,-2.705443911,-2.76152095,-2.81389006,-2.864219962,-2.919808675,-2.968648938,-3.017831431,-3.061178241,-3.103614082,-3.149798814,-3.195992488,-3.245214969,-3.293755328,-3.338008073,-3.384337003,-3.4339485,-3.483754643,-3.533755514,-3.583950796,-3.634340124,-3.684923084,-3.735699218,-3.786668017,-3.837828923
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Delayed transition,High,5,0.0,-0.05233934,-0.113325141,-0.175227792,-0.235399222,-0.286297994,-0.332503311,-0.374450155,-0.419590469,-0.459655597,-0.499672473,-0.548233496,-0.610116478,-0.680671323,-0.741045765,-0.784692227,-0.836292898,-0.900725323,-0.940000791,-0.960246566,-0.975350866,-0.978473429,-0.984670555,-0.990073658,-0.995819016,-1.011331582,-1.03024328,-1.045525918,-1.063068437,-1.076964743,-1.082455168,-1.084466833,-1.085200153,-1.085655132,-1.090527755,-1.092172765,-1.092623839,-1.095096731,-1.096927815,-1.098800782,-1.10515045,-1.106270982,-1.106828726,-1.10780257,-1.113491531,-1.115144882,-1.11692689,-1.117404187,-1.121605188,-1.123248624,-1.126659923,-1.128515818,-1.130320874,-1.131840553,-1.136451427,-1.13939819,-1.141290373,-1.142824739,-1.144706055,-1.148049507,-1.150048964,-1.152199758,-1.154786964,-1.156305816,-1.159305925,-1.163506027,-1.167884972,-1.170330497,-1.17176682,-1.173559001,-1.177333361,-1.18002456,-1.180109301,-1.180194112,-1.180278953,-1.180363823,-1.180448724,-1.180533654,-1.180618614,-1.180703603,-1.180788622
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Delayed transition,High,50,0.0,-0.073010899,-0.160459593,-0.249089932,-0.337684737,-0.412293278,-0.473941504,-0.530117533,-0.587780228,-0.640807978,-0.696237252,-0.767564237,-0.861592729,-0.957065971,-1.039483461,-1.10977375,-1.18709275,-1.282093944,-1.344247405,-1.379001596,-1.4070147,-1.419298618,-1.431519691,-1.439189387,-1.456178823,-1.487881502,-1.522489054,-1.548000596,-1.580086855,-1.611484118,-1.627175232,-1.63089058,-1.631233589,-1.631408613,-1.635942257,-1.640541399,-1.648509857,-1.669731952,-1.688975464,-1.700172007,-1.709775111,-1.710946339,-1.712433273,-1.713873103,-1.722269115,-1.725031605,-1.728531197,-1.730786855,-1.737079345,-1.73848289,-1.742983132,-1.744234594,-1.74501672,-1.745806995,-1.750891614,-1.75558451,-1.759055077,-1.760148501,-1.761853494,-1.766500391,-1.768103691,-1.775821049,-1.781593282,-1.783165637,-1.786345321,-1.79838267,-1.807711317,-1.810790469,-1.812063521,-1.816767944,-1.821397168,-1.823349244,-1.823773702,-1.824198363,-1.824622973,-1.825047533,-1.825472045,-1.825896506,-1.826320917,-1.826745278,-1.827169585
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Delayed transition,High,95,0.0,-0.10721212,-0.209114996,-0.291370361,-0.378703404,-0.451712902,-0.52996271,-0.613244351,-0.70239182,-0.804182294,-0.903227973,-0.990666894,-1.094414146,-1.199841398,-1.317021337,-1.43652425,-1.537262542,-1.620722296,-1.691626966,-1.769578922,-1.837437348,-1.902524613,-1.969481954,-2.039491607,-2.116046676,-2.18516093,-2.265510301,-2.339742364,-2.399730334,-2.436311128,-2.457262142,-2.470473675,-2.490341569,-2.510446509,-2.529947001,-2.540889274,-2.542535172,-2.547401888,-2.551411828,-2.56249704,-2.589593569,-2.606681079,-2.610216319,-2.609601739,-2.614688989,-2.619135217,-2.619089088,-2.619794231,-2.619352633,-2.627857539,-2.643591478,-2.661297896,-2.670394803,-2.67051142,-2.673099278,-2.672557821,-2.672194781,-2.678399245,-2.684004848,-2.686296758,-2.68740783,-2.689207533,-2.697147901,-2.703671398,-2.707100459,-2.707327107,-2.706973759,-2.706756989,-2.707556215,-2.7073118,-2.707352702,-2.707878656,-2.707850806,-2.70782787,-2.70780844,-2.707792519,-2.707780108,-2.707771209,-2.707765825,-2.707763959,-2.707765612
Luxembourg,LU,LUX,Potential National Income Loss from Chronic Climate Damages,,GCAM,Delayed transition,Median,5,0.0,-0.022018047,-0.049159749,-0.07682879,-0.103968332,-0.127233503,-0.148095058,-0.167327374,-0.187441174,-0.20599195,-0.223886284,-0.245797594,-0.273530487,-0.305913704,-0.334302343,-0.354885094,-0.377863717,-0.407615774,-0.423875542,-0.432150006,-0.438575308,-0.437278049,-0.437880659,-0.437319564,-0.437475001,-0.444112475,-0.453010991,-0.460318915,-0.468216835,-0.474775028,-0.473994264,-0.466835956,-0.459744198,-0.455352006,-0.445816912,-0.436549786,-0.432784291,-0.432467357,-0.433071137,-0.433661255,-0.427602099,-0.419083359,-0.415045756,-0.411378156,-0.399993763,-0.387836294,-0.383547709,-0.381983999,-0.37500044,-0.364097959,-0.350291671,-0.336161997,-0.32426422,-0.313758977,-0.299400987,-0.288624054,-0.282091144,-0.273883282,-0.264715138,-0.252323325,-0.242751497,-0.240528103,-0.238256658,-0.232611024,-0.223346358,-0.218555603,-0.214571324,-0.205203203,-0.19777848,-0.195793695,-0.197188765,-0.197982549,-0.197550434,-0.197118665,-0.196686998,-0.196255432,-0.195823967,-0.195392603,-0.194961341,-0.194530181,-0.194099125
